encoder,video,n_frames,frame_acc,drift_mean,drift_p95,pred_transitions_per_100,true_transitions_per_100,jitter_ratio,pred_segments,mean_run_len,stability,consistency,conditional_score
dinov2_vits14,video49,1671,0.6929982046678635,0.13632157444953918,0.3231664299964905,25.62874251497006,0.3592814371257485,71.33333333333333,429,3.895104895104895,0.3425447344779968,0.9964093357271095,0.34131477133803995
dinov2_vits14,video50,1094,0.7614259597806216,0.1386001706123352,0.35149598121643066,20.2195791399817,0.45745654162854527,44.2,222,4.927927927927928,0.2561877369880676,0.9963436928702011,0.2552510359387511
dinov2_vits14,video51,2944,0.6871603260869565,0.11719003319740295,0.29600051045417786,26.265715256540943,0.2038735983690112,128.83333333333334,774,3.8036175710594313,0.33371978998184204,0.9952445652173914,0.33213280728491756
dinov2_vits14,video52,1966,0.7253306205493387,0.11055266857147217,0.24360904097557068,25.0381679389313,0.3053435114503817,82.0,493,3.9878296146044625,0.3358438014984131,0.9954221770091557,0.3343063680225811
dinov2_vits14,video53,3283,0.7246420956442279,0.13687124848365784,0.3093852400779724,25.411334552102378,0.18281535648994515,139.0,835,3.931736526946108,0.3252965211868286,0.9972586049345111,0.32440475490882636
dinov2_vits14,video54,3100,0.7361290322580645,0.10675805062055588,0.27357569336891174,26.395611487576637,0.1936108422071636,136.33333333333334,819,3.785103785103785,0.36354780197143555,0.9964516129032258,0.3622577936418595
dinov2_vits14,video55,1037,0.7926711668273867,0.1351824700832367,0.34476184844970703,20.077220077220076,0.5791505791505791,34.666666666666664,209,4.961722488038277,0.30971598625183105,0.9893924783027965,0.30643066720769396
dinov2_vits14,video56,1834,0.5468920392584514,0.1700059175491333,0.5045795440673828,36.87943262411348,0.32733224222585927,112.66666666666666,677,2.709010339734121,0.33067750930786133,0.9912758996728462,0.32779264554072624
dinov2_vits14,video57,2632,0.6550151975683891,0.11712253093719482,0.32068243622779846,30.368681109844164,0.22805017103762829,133.16666666666666,800,3.29,0.35577285289764404,0.996580547112462,0.35455630438849556
dinov2_vits14,video58,5993,0.46470882696479227,0.14095258712768555,0.33795231580734253,35.39719626168224,0.10013351134846461,353.5,2122,2.8242224316682374,0.26107507944107056,0.9986651092941765,0.2607265727440025
dinov2_vits14,video59,1046,0.7925430210325047,0.11135232448577881,0.26834967732429504,20.95693779904306,0.5741626794258373,36.5,220,4.754545454545455,0.34488630294799805,0.9894837476099426,0.3412593915403231
dinov2_vits14,video60,2532,0.5114533965244866,0.14314019680023193,0.366228312253952,44.84393520347689,0.2370604504148558,189.16666666666666,1136,2.2288732394366195,0.2900775074958801,0.9980252764612955,0.28950468461377926
dinov2_vits14,video61,4409,0.6511680653209344,0.13387371599674225,0.4158876836299896,32.44101633393829,0.13611615245009073,238.33333333333334,1431,3.0810621942697414,0.3987688422203064,0.9968246767974598,0.39750262226315414
dinov2_vits14,video62,2032,0.7386811023622047,0.10650850087404251,0.22754308581352234,22.451994091580502,0.29542097488921715,76.0,457,4.446389496717725,0.2785041332244873,0.9960629921259843,0.27740766025903657
dinov2_vits14,video63,3433,0.5117972618700845,0.13065946102142334,0.3094901442527771,38.51981351981352,0.17482517482517482,220.33333333333334,1323,2.5948601662887376,0.31289732456207275,0.9982522575007282,0.3123504606100272
dinov2_vits14,video64,2398,0.7297748123436196,0.11527878046035767,0.3094414472579956,25.657071339173967,0.2503128911138924,102.5,616,3.892857142857143,0.4115983843803406,0.9979149291075896,0.41074017256970596
dinov2_vits14,video65,1873,0.7245061398825414,0.12243559956550598,0.3447951376438141,22.863247863247864,0.2670940170940171,85.60000000000001,429,4.365967365967366,0.34255194664001465,0.997330485851575,0.3416374993718886
dinov2_vits14,video66,1824,0.8256578947368421,0.13546237349510193,0.3017072081565857,18.924849149753154,0.32912781130005486,57.5,346,5.271676300578035,0.2538798451423645,0.993421052631579,0.25220958300327
dinov2_vits14,video67,2353,0.7331066723331917,0.11499345302581787,0.28596118092536926,26.44557823129252,0.25510204081632654,103.66666666666667,623,3.7768860353130016,0.36171168088912964,0.9953251168720783,0.36002072105496885
